Date,Open,High,Low,Close,Volume,Adj Close
2015-03-25,0.11,0.11,0.11,0.11,800,0.11
2015-03-24,0.11,0.11,0.11,0.11,000,0.11
2015-03-23,0.11,0.11,0.11,0.11,000,0.11
2015-03-20,0.11,0.11,0.11,0.11,000,0.11
2015-03-19,0.11,0.11,0.11,0.11,15000,0.11
2015-03-18,0.11,0.11,0.10,0.10,20100,0.10
2015-03-17,0.11,0.11,0.11,0.11,1200,0.11
2015-03-16,0.10,0.10,0.10,0.10,200,0.10
2015-03-13,0.10,0.10,0.10,0.10,000,0.10
2015-03-12,0.10,0.10,0.10,0.10,300,0.10
2015-03-11,0.11,0.11,0.11,0.11,5200,0.11
2015-03-10,0.09,0.09,0.09,0.09,000,0.09
2015-03-09,0.09,0.09,0.09,0.09,000,0.09
2015-03-06,0.09,0.09,0.09,0.09,1800,0.09
2015-03-05,0.11,0.11,0.11,0.11,000,0.11
2015-03-04,0.11,0.11,0.11,0.11,000,0.11
2015-03-03,0.11,0.11,0.11,0.11,000,0.11
2015-03-02,0.11,0.11,0.11,0.11,000,0.11
2015-02-27,0.11,0.11,0.11,0.11,000,0.11
2015-02-26,0.11,0.11,0.11,0.11,000,0.11
2015-02-25,0.11,0.11,0.11,0.11,48300,0.11
2015-02-24,0.11,0.11,0.11,0.11,50000,0.11
2015-02-23,0.11,0.11,0.11,0.11,000,0.11
2015-02-20,0.11,0.11,0.11,0.11,000,0.11
2015-02-19,0.11,0.11,0.11,0.11,4300,0.11
2015-02-18,0.11,0.11,0.11,0.11,1500,0.11
2015-02-17,0.13,0.13,0.13,0.13,300,0.13
2015-02-13,0.11,0.11,0.11,0.11,000,0.11
2015-02-12,0.11,0.11,0.11,0.11,000,0.11
2015-02-11,0.11,0.11,0.11,0.11,000,0.11
2015-02-10,0.11,0.11,0.11,0.11,000,0.11
2015-02-09,0.11,0.11,0.11,0.11,000,0.11
2015-02-06,0.11,0.11,0.11,0.11,000,0.11
2015-02-05,0.11,0.11,0.11,0.11,000,0.11
2015-02-04,0.11,0.11,0.11,0.11,000,0.11
2015-02-03,0.11,0.11,0.11,0.11,000,0.11
2015-02-02,0.11,0.11,0.11,0.11,000,0.11
2015-01-30,0.11,0.11,0.11,0.11,000,0.11
2015-01-29,0.11,0.11,0.11,0.11,000,0.11
2015-01-28,0.11,0.11,0.11,0.11,000,0.11
2015-01-27,0.11,0.11,0.11,0.11,000,0.11
2015-01-26,0.11,0.11,0.11,0.11,000,0.11
2015-01-23,0.11,0.11,0.11,0.11,000,0.11
2015-01-22,0.11,0.11,0.11,0.11,000,0.11
2015-01-21,0.11,0.11,0.11,0.11,000,0.11
2015-01-20,0.125,0.125,0.11,0.11,83000,0.11
2015-01-16,0.125,0.125,0.125,0.125,000,0.125
2015-01-15,0.125,0.125,0.125,0.125,000,0.125
2015-01-14,0.125,0.125,0.125,0.125,000,0.125
2015-01-13,0.125,0.125,0.125,0.125,000,0.125
2015-01-12,0.125,0.125,0.125,0.125,000,0.125
2015-01-09,0.125,0.125,0.125,0.125,000,0.125
2015-01-08,0.125,0.125,0.125,0.125,000,0.125
2015-01-07,0.125,0.125,0.12,0.125,20000,0.125
2015-01-06,0.125,0.125,0.125,0.125,000,0.125
2015-01-05,0.125,0.125,0.125,0.125,000,0.125
2015-01-02,0.125,0.125,0.125,0.125,000,0.125
2014-12-31,0.125,0.125,0.125,0.125,000,0.125
2014-12-30,0.125,0.125,0.125,0.125,000,0.125
2014-12-29,0.125,0.125,0.125,0.125,000,0.125
2014-12-26,0.125,0.125,0.125,0.125,000,0.125
2014-12-24,0.125,0.125,0.125,0.125,500,0.125
2014-12-23,0.128,0.128,0.128,0.128,000,0.128
2014-12-22,0.128,0.128,0.128,0.128,500,0.128
2014-12-19,0.126,0.126,0.126,0.126,000,0.126
2014-12-18,0.126,0.126,0.126,0.126,000,0.126
2014-12-17,0.126,0.126,0.126,0.126,000,0.126
2014-12-16,0.126,0.126,0.126,0.126,000,0.126
2014-12-15,0.126,0.126,0.126,0.126,1000,0.126
2014-12-12,0.136,0.136,0.136,0.136,000,0.136
2014-12-11,0.136,0.136,0.136,0.136,000,0.136
2014-12-10,0.136,0.136,0.136,0.136,1000,0.136
2014-12-09,0.12,0.12,0.12,0.12,000,0.12
2014-12-08,0.12,0.12,0.12,0.12,000,0.12
2014-12-05,0.12,0.12,0.12,0.12,000,0.12
2014-12-04,0.12,0.12,0.12,0.12,000,0.12
2014-12-03,0.12,0.12,0.12,0.12,5100,0.12
2014-12-02,0.12,0.12,0.12,0.12,000,0.12
2014-12-01,0.12,0.12,0.12,0.12,000,0.12
2014-11-28,0.12,0.12,0.12,0.12,000,0.12
2014-11-26,0.12,0.12,0.12,0.12,000,0.12
2014-11-25,0.12,0.12,0.12,0.12,000,0.12
2014-11-24,0.12,0.12,0.12,0.12,000,0.12
2014-11-21,0.14,0.14,0.12,0.12,162900,0.12
2014-11-20,0.13,0.13,0.13,0.13,000,0.13
2014-11-19,0.13,0.139,0.13,0.13,51000,0.13
2014-11-18,0.12,0.12,0.12,0.12,000,0.12
2014-11-17,0.12,0.12,0.12,0.12,000,0.12
2014-11-14,0.12,0.12,0.12,0.12,000,0.12
2014-11-13,0.12,0.12,0.12,0.12,35000,0.12
