Date,Open,High,Low,Close,Volume,Adj Close
2015-11-24,4.30,4.30,3.24,3.398,98700,3.398
2015-11-23,4.52,4.55,4.36,4.39,9700,4.39
2015-11-20,4.50,4.50,4.41,4.44,4500,4.44
2015-11-19,4.94,4.94,4.34,4.65,9500,4.65
2015-11-18,4.88,5.00,4.76,4.76,6500,4.76
2015-11-17,5.00,5.12,5.00,5.00,2000,5.00
2015-11-16,4.94,5.02,4.71,5.00,7100,5.00
2015-11-13,4.85,4.85,4.82,4.82,300,4.82
2015-11-12,4.81,4.81,4.71,4.71,300,4.71
2015-11-11,4.72,5.01,4.55,4.74,3200,4.74
2015-11-10,5.03,5.20,4.72,4.73,3600,4.73
2015-11-09,5.08,5.21,5.08,5.21,400,5.21
2015-11-06,5.25,5.39,5.06,5.09,12800,5.09
2015-11-05,5.49,5.49,5.00,5.015,17600,5.015
2015-11-04,5.27,5.65,5.23,5.65,5700,5.65
2015-11-03,5.64,5.64,5.05,5.20,6400,5.20
2015-11-02,5.63,5.82,5.16,5.45,2600,5.45
2015-10-30,5.72,5.72,5.37,5.64,800,5.64
2015-10-29,5.97,6.09,5.00,5.87,23600,5.87
2015-10-28,6.35,6.78,5.31,5.70,28000,5.70
2015-10-27,6.48,6.48,6.33,6.33,500,6.33
2015-10-26,5.98,6.34,5.98,6.26,600,6.26
2015-10-23,5.98,6.485,5.98,6.20,900,6.20
2015-10-22,6.00,6.485,5.61,6.00,2100,6.00
2015-10-21,6.23,6.70,5.75,6.23,3800,6.23
2015-10-20,6.21,6.40,6.21,6.40,700,6.40
2015-10-19,6.20,6.50,5.98,6.21,6500,6.21
2015-10-16,6.835,6.835,5.95,6.00,8700,6.00
2015-10-15,7.14,7.14,6.05,6.40,15500,6.40
2015-10-14,6.84,6.90,6.80,6.90,4100,6.90
2015-10-13,6.95,6.95,6.11,6.76,5100,6.76
2015-10-12,6.645,6.88,6.60,6.87,900,6.87
2015-10-09,6.95,6.95,6.50,6.50,5500,6.50
2015-10-08,5.32,6.80,5.32,6.80,10100,6.80
2015-10-07,5.495,5.495,5.29,5.31,1000,5.31
2015-10-06,5.218,5.67,5.218,5.67,600,5.67
2015-10-05,5.63,5.73,5.29,5.29,1600,5.29
2015-10-02,5.39,5.788,5.39,5.56,1300,5.56
2015-10-01,5.80,5.80,5.33,5.641,2300,5.641
2015-09-30,5.60,5.86,5.00,5.86,6300,5.86
2015-09-29,5.645,5.78,5.50,5.78,2200,5.78
2015-09-28,5.38,5.90,5.37,5.50,28200,5.50
2015-09-25,5.44,5.98,5.16,5.89,23100,5.89
2015-09-24,5.59,5.59,5.14,5.57,15400,5.57
2015-09-23,6.00,6.00,5.45,5.54,3200,5.54
2015-09-22,5.56,6.043,5.56,5.61,5400,5.61
2015-09-21,5.52,5.85,5.43,5.53,5800,5.53
2015-09-18,5.50,6.14,5.50,5.78,5900,5.78
2015-09-17,5.72,6.20,5.37,5.95,6300,5.95
2015-09-16,5.75,5.91,5.70,5.83,7100,5.83
2015-09-15,6.14,6.14,5.81,5.90,4400,5.90
2015-09-14,6.12,6.48,6.02,6.25,900,6.25
2015-09-11,5.82,6.40,5.82,6.25,19200,6.25
2015-09-10,6.17,6.17,5.89,5.99,1600,5.99
2015-09-09,6.46,6.46,6.09,6.11,14200,6.11
2015-09-08,6.46,7.06,6.42,6.45,2100,6.45
2015-09-04,6.20,6.30,6.20,6.30,400,6.30
2015-09-03,5.78,7.19,5.78,6.51,2800,6.51
2015-09-02,6.76,6.99,6.05,6.06,1000,6.06
2015-09-01,6.14,6.55,6.14,6.26,1700,6.26
2015-08-31,6.26,6.80,6.01,6.15,5800,6.15
2015-08-28,6.07,6.49,6.04,6.29,5100,6.29
2015-08-27,5.92,6.50,5.92,6.14,6000,6.14
2015-08-26,6.90,6.90,5.98,6.10,19300,6.10
2015-08-25,7.35,7.36,6.04,6.79,10200,6.79
2015-08-24,6.00,6.50,6.00,6.50,12400,6.50
2015-08-21,6.87,6.99,6.17,6.17,7900,6.17
2015-08-20,7.13,7.59,6.75,6.99,5000,6.99
2015-08-19,7.38,7.38,6.75,7.14,13800,7.14
2015-08-18,7.70,7.72,7.29,7.32,10400,7.32
2015-08-17,7.38,7.75,7.003,7.73,14200,7.73
2015-08-14,7.12,7.522,7.12,7.27,13200,7.27
2015-08-13,6.38,7.42,6.30,7.31,83200,7.31
2015-08-12,6.26,6.26,6.20,6.20,2400,6.20
2015-08-11,6.22,6.45,5.50,6.45,5100,6.45
2015-08-10,6.37,6.45,5.81,6.14,12900,6.14
2015-08-07,5.85,6.45,5.30,6.45,25900,6.45
2015-08-06,6.19,6.21,5.80,5.89,7600,5.89
2015-08-05,6.20,6.50,5.55,6.10,19900,6.10
2015-08-04,6.37,6.69,5.80,5.90,22200,5.90
2015-08-03,6.69,6.89,6.16,6.535,6400,6.535
2015-07-31,6.49,6.69,6.05,6.09,35700,6.09
2015-07-30,6.70,6.844,6.215,6.42,34700,6.42
2015-07-29,5.90,6.85,5.722,6.47,43300,6.47
2015-07-28,6.12,6.74,5.74,6.32,28000,6.32
2015-07-27,6.58,6.93,6.15,6.40,29700,6.40
2015-07-24,6.07,6.95,6.07,6.57,39200,6.57
2015-07-23,6.95,6.95,5.86,6.02,7900,6.02
2015-07-22,6.52,6.52,6.46,6.46,600,6.46
2015-07-21,7.00,7.00,6.75,6.76,4100,6.76
2015-07-20,7.10,7.26,6.56,6.64,29500,6.64
2015-07-17,6.91,7.07,6.50,7.07,18200,7.07
2015-07-16,7.30,7.30,6.283,6.95,33100,6.95
2015-07-15,7.21,7.30,7.11,7.28,3300,7.28
2015-07-14,6.60,7.60,6.60,7.05,12900,7.05
2015-07-13,7.32,7.32,6.90,6.95,4600,6.95
2015-07-10,7.12,7.20,6.95,6.95,8100,6.95
2015-07-09,7.00,7.615,6.84,7.05,1600,7.05
2015-07-08,6.99,7.41,6.99,7.14,4100,7.14
2015-07-07,6.82,7.15,6.82,6.88,4700,6.88
2015-07-06,7.18,7.61,7.06,7.08,1400,7.08
2015-07-02,7.20,7.39,6.81,7.13,2300,7.13
2015-07-01,7.08,7.71,6.52,6.93,59500,6.93
2015-06-30,7.30,7.30,6.99,7.14,6600,7.14
2015-06-29,7.22,7.39,6.69,7.06,10900,7.06
2015-06-26,7.305,7.64,6.94,7.08,25500,7.08
2015-06-25,7.22,8.21,7.09,7.09,17100,7.09
2015-06-24,7.35,7.50,7.05,7.25,18400,7.25
2015-06-23,7.21,7.68,7.15,7.42,11300,7.42
2015-06-22,6.95,7.69,6.95,7.25,15900,7.25
2015-06-19,7.90,7.92,6.71,6.73,71300,6.73
2015-06-18,7.365,7.95,7.30,7.52,27900,7.52
2015-06-17,7.31,8.00,7.04,7.36,25500,7.36
2015-06-16,7.65,7.97,7.14,7.28,49600,7.28
2015-06-15,7.60,8.00,7.25,7.68,153800,7.68
2015-06-12,7.85,7.85,7.10,7.67,30200,7.67
2015-06-11,7.89,7.89,7.70,7.86,9000,7.86
2015-06-10,7.91,7.96,7.80,7.80,3000,7.80
2015-06-09,7.95,8.04,7.75,7.81,14100,7.81
2015-06-08,7.76,8.22,7.76,8.02,39300,8.02
2015-06-05,7.97,8.03,7.79,7.89,55700,7.89
2015-06-04,7.84,7.95,7.80,7.94,23800,7.94
2015-06-03,7.85,7.97,7.706,7.87,6500,7.87
2015-06-02,7.70,8.14,7.70,7.83,15000,7.83
2015-06-01,8.28,8.34,7.51,7.58,115800,7.58
2015-05-29,8.36,8.55,8.03,8.23,155300,8.23
2015-05-28,8.47,8.60,8.11,8.22,109600,8.22
2015-05-27,8.39,8.74,8.178,8.37,54900,8.37
2015-05-26,8.78,8.80,8.40,8.48,49100,8.48
2015-05-22,9.09,9.35,8.919,9.06,42400,9.06
2015-05-21,8.68,9.18,8.68,9.13,34000,9.13
2015-05-20,8.701,9.12,8.35,9.01,99900,9.01
2015-05-19,8.81,8.99,8.686,8.96,41800,8.96
2015-05-18,9.31,9.31,8.85,9.08,31600,9.08
2015-05-15,9.83,9.83,9.012,9.42,91200,9.42
2015-05-14,8.76,9.48,8.75,9.37,48700,9.37
2015-05-13,8.73,8.99,8.60,8.97,40900,8.97
2015-05-12,9.20,9.20,8.70,9.00,22500,9.00
2015-05-11,9.21,9.40,9.00,9.39,7700,9.39
2015-05-08,9.40,9.598,8.50,9.39,89100,9.39
2015-05-07,9.41,9.796,8.95,9.15,38600,9.15
2015-05-06,9.83,10.00,9.30,9.70,106300,9.70
2015-05-05,9.23,10.23,9.21,9.50,137200,9.50
2015-05-04,9.05,9.79,9.00,9.49,55300,9.49
2015-05-01,8.74,9.15,8.70,9.10,66400,9.10
2015-04-30,9.31,9.40,8.55,8.80,110600,8.80
2015-04-29,8.50,9.48,8.21,8.96,435200,8.96
2015-04-28,8.00,8.00,8.00,8.00,000,8.00
